id,name,type,study,promotion
Braun,Wernher von Braun,0,1,1
Debus,Kurt Debus,0,1,1
Rudolph,Arthur Rudolph,0,1,0
Rickhey,Georg Rickhey,0,1,0
Dornberger,Walter Dornberger,0,1,0
Strughold,Hubertus Strughold,0,0,1
Kuettner,Joachim Kuettner,0,1,1
NSDAP,NSDAP,1,99,99
Dyna Soar,Dyna Soar,1,99,99
SS,SS,1,99,99
SA,SA,1,99,99
Gestapo,Gestapo,1,99,99
NASA,NASA,1,99,99
V2,V2,1,99,99
US Army,US Army,1,99,99
Redstone,Redstone,1,99,99
Jupiter,Jupiter,1,99,99
Mercury,Mercury,1,99,99
Gemini,Gemini,1,99,99
Apollo,Apollo,1,99,99
Saturn,Saturn,1,99,99
Verein fuer Raumschifffahrt,Verein fuer Raumschifffahrt,1,99,99
Firma Heylandt,Firma Heylandt,1,99,99
Tessmann,Bernhard Tessmann,0,1,0
Rees,Eberhard Rees,0,1,1
Riedel,Walter Riedel,0,1,1
Heeresversuchsanstalt,Heeresversuchsanstalt,1,99,99
ABMA,ABMA,1,99,99
Heereswaffenamt,Heereswaffenamt,1,99,99
Huzel,Dieter Huzel,0,1,0
North Amercian Aviation,North American Aviation,1,99,99
Benzinger,Theodor Benzinger,0,1,1
Flugmedizinisches Institut,Flugmedizinisches Institut,1,99,99
Deutsche Akademie fuer Luftfahrtforschung,Deutsche Akademie fuer Luftfahrtforschung,1,99,99
NMRI,NMRI,1,99,99
NIST,NIST,1,99,99
Schaefer,Konrad Schaefer,0,1,1
Schering AG,Schering AG,1,99,99
Bell Air Craft Corporation,Bell Air Craft Corporation,1,99,99
Luftwaffe,Luftwaffe,1,99,99
Forschungsinstitut fuer Luftfahrtmedizin,Forschungsinstitut fuer Luftfahrtmedizin,1,99,99
Ruff,Siegfried Ruff,0,1,1
Deutsche Versuchsanstalt fuer Luftfahrt,Deutsche Versuchsanstalt fuer Luftfahrt,1,99,99
KZ Dachau,KZ Dachau,1,99,99
Aero Medical Center,Aero Medical Center,1,99,99
Institut fuer Flugmedizin der deutschen Versuchsanstalt,Institut fuer Flugmedizin der deutschen Versuchsanstalt,1,99,99
Rockefeller Foundation,Rockefeller Foundation,1,99,99
Universitaet Heidelberg,Universitaet Heidelberg,1,99,99
Reichsluftfahrtministerium,Reichsluftfahrtministerium,1,99,99
Institut fuer Weltraummedizin,Institut fuer Weltraummedizin,1,99,99
Technische Hochschule Darmstadt,Technische Hochschule Darmstadt,1,99,99
Burschenschaft Markommannia,Burschenschaft Markommannia,1,99,99
Operation Backfire,Operation Backfire,1,99,99
Pruefstand VII,Pruefstand VII,1,99,99
Kriegsgefangenschaft,Kriegsgefangenschaft,1,99,99
Messerschmitt AG,Messerschmitt AG,1,99,99
Geophysical Research Directorate,Geophysical Research Directorate,1,99,99
University of California,University of California,1,99,99
Mittelwerk GmbH,Mittelwerk GmbH,1,99,99
Tiesenhausen,Georg von Tiesenhausen,0,1,1
Ingenieurschule Hamburg,Ingenieurschule Hamburg,1,99,99
Test Stand 12,Test Stand 12,1,99,99
Hatlapa,Hatlapa,1,99,99
US Air Force,US Air Force,1,99,99